transaction_id,user_id,timestamp,amount,transaction_type,device_id,ip_address,affiliate_id,country,merchant_category,device_used,profit
tx_000001,user_launder_001,2024-02-01T10:00:00.000Z,5000,deposit,dev_launder_shared,203.45.67.89,aff_001,MY,bank_transfer,desktop,0
tx_000002,user_launder_001,2024-02-01T10:05:00.000Z,100,trade,dev_launder_shared,203.45.67.89,aff_001,MY,bank_transfer,desktop,0.01
tx_000003,user_launder_001,2024-02-01T10:08:00.000Z,100,trade,dev_launder_shared,203.45.67.89,aff_001,MY,bank_transfer,desktop,0.01
tx_000004,user_launder_001,2024-02-01T10:15:00.000Z,5000.02,withdraw,dev_launder_shared,203.45.67.89,aff_001,MY,bank_transfer,desktop,0
tx_000005,user_ring_001,2024-02-02T08:00:00.000Z,562.51,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000006,user_ring_002,2024-02-02T08:02:00.000Z,1454.63,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000007,user_ring_003,2024-02-02T08:04:00.000Z,570.40,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000008,user_ring_003,2024-02-02T08:06:00.000Z,991.87,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000009,user_ring_004,2024-02-02T08:07:00.000Z,1794.50,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000010,user_ring_005,2024-02-02T08:09:00.000Z,1899.60,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000011,user_ring_005,2024-02-02T08:11:00.000Z,426.78,trade,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,7.77
tx_000012,user_ring_006,2024-02-02T08:12:00.000Z,1772.19,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000013,user_ring_006,2024-02-02T08:14:00.000Z,1515.89,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000014,user_ring_007,2024-02-02T08:15:00.000Z,1531.36,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000015,user_ring_008,2024-02-02T08:17:00.000Z,1431.81,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000016,user_ring_009,2024-02-02T08:19:00.000Z,1086.45,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000017,user_ring_009,2024-02-02T08:21:00.000Z,921.53,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000018,user_ring_010,2024-02-02T08:22:00.000Z,1378.30,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000019,user_ring_010,2024-02-02T08:24:00.000Z,161.09,trade,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,8.03
tx_000020,user_ring_011,2024-02-02T08:25:00.000Z,995.09,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000021,user_ring_012,2024-02-02T08:27:00.000Z,839.87,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000022,user_ring_012,2024-02-02T08:29:00.000Z,914.31,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000023,user_ring_013,2024-02-02T08:30:00.000Z,1284.74,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000024,user_ring_014,2024-02-02T08:32:00.000Z,955.56,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000025,user_ring_015,2024-02-02T08:34:00.000Z,1370.95,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000026,user_ring_015,2024-02-02T08:36:00.000Z,258.78,trade,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,3.30
tx_000027,user_ring_015,2024-02-02T08:37:00.000Z,513.68,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000028,user_ring_016,2024-02-02T08:38:00.000Z,1326.08,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000029,user_ring_017,2024-02-02T08:40:00.000Z,659.11,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000030,user_ring_018,2024-02-02T08:42:00.000Z,1282.67,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000031,user_ring_018,2024-02-02T08:44:00.000Z,1453.73,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000032,user_ring_019,2024-02-02T08:45:00.000Z,1725.63,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000033,user_ring_020,2024-02-02T08:47:00.000Z,1658.56,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000034,user_ring_020,2024-02-02T08:49:00.000Z,442.31,trade,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,5.68
tx_000035,user_ring_021,2024-02-02T08:50:00.000Z,1965.80,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000036,user_ring_021,2024-02-02T08:52:00.000Z,1144.55,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000037,user_ring_022,2024-02-02T08:53:00.000Z,629.28,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000038,user_ring_023,2024-02-02T08:55:00.000Z,1598.91,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000039,user_ring_024,2024-02-02T08:57:00.000Z,838.14,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000040,user_ring_024,2024-02-02T08:59:00.000Z,1134.39,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000041,user_ring_025,2024-02-02T09:00:00.000Z,1941.32,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000042,user_ring_025,2024-02-02T09:02:00.000Z,404.92,trade,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,-3.28
tx_000043,user_ring_026,2024-02-02T09:03:00.000Z,1676.75,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000044,user_ring_027,2024-02-02T09:05:00.000Z,1469.20,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000045,user_ring_027,2024-02-02T09:07:00.000Z,974.80,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000046,user_ring_028,2024-02-02T09:08:00.000Z,725.25,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000047,user_ring_029,2024-02-02T09:10:00.000Z,1714.80,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000048,user_ring_030,2024-02-02T09:12:00.000Z,1524.31,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000049,user_ring_030,2024-02-02T09:14:00.000Z,120.12,trade,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,-6.32
tx_000050,user_ring_030,2024-02-02T09:15:00.000Z,1787.91,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000051,user_ring_031,2024-02-02T09:16:00.000Z,1876.99,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000052,user_ring_032,2024-02-02T09:18:00.000Z,1225.89,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000053,user_ring_033,2024-02-02T09:20:00.000Z,1075.47,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000054,user_ring_033,2024-02-02T09:22:00.000Z,1370.53,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000055,user_ring_034,2024-02-02T09:23:00.000Z,1205.98,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000056,user_ring_035,2024-02-02T09:25:00.000Z,1633.57,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000057,user_ring_035,2024-02-02T09:27:00.000Z,355.03,trade,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0.59
tx_000058,user_ring_036,2024-02-02T09:28:00.000Z,1611.06,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000059,user_ring_036,2024-02-02T09:30:00.000Z,433.82,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000060,user_ring_037,2024-02-02T09:31:00.000Z,1500.43,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000061,user_ring_038,2024-02-02T09:33:00.000Z,1472.65,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000062,user_ring_039,2024-02-02T09:35:00.000Z,543.92,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000063,user_ring_039,2024-02-02T09:37:00.000Z,1202.99,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000064,user_ring_040,2024-02-02T09:38:00.000Z,548.14,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000065,user_ring_040,2024-02-02T09:40:00.000Z,191.34,trade,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,7.75
tx_000066,user_ring_041,2024-02-02T09:41:00.000Z,1130.83,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000067,user_ring_042,2024-02-02T09:43:00.000Z,1479.35,deposit,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000068,user_ring_042,2024-02-02T09:45:00.000Z,1429.91,withdraw,dev_ring_alpha,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000069,user_ring_043,2024-02-02T09:46:00.000Z,629.37,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000070,user_ring_044,2024-02-02T09:48:00.000Z,713.51,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000071,user_ring_045,2024-02-02T09:50:00.000Z,1560.22,deposit,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000072,user_ring_045,2024-02-02T09:52:00.000Z,384.10,trade,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0.13
tx_000073,user_ring_045,2024-02-02T09:53:00.000Z,1721.72,withdraw,dev_ring_beta,45.123.45.67,aff_ring_master,TH,ewallet,mobile,0
tx_000074,user_ring_046,2024-02-02T09:54:00.000Z,626.85,deposit,dev_ring_alpha,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000075,user_ring_047,2024-02-02T09:56:00.000Z,1212.84,deposit,dev_ring_beta,45.123.45.68,aff_ring_master,TH,ewallet,mobile,0
tx_000076,user_temporal_001,2024-02-03T09:00:00.000Z,109.53,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000077,user_temporal_001,2024-02-03T11:00:00.000Z,96.79,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,14.17
tx_000078,user_temporal_001,2024-02-03T12:00:00.000Z,150.90,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000079,user_temporal_001,2024-02-03T14:00:00.000Z,64.90,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,9.19
tx_000080,user_temporal_001,2024-02-03T15:00:00.000Z,115.84,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000081,user_temporal_001,2024-02-03T17:00:00.000Z,61.14,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,13.88
tx_000082,user_temporal_001,2024-02-03T18:00:00.000Z,129.10,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000083,user_temporal_001,2024-02-03T20:00:00.000Z,64.60,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,-4.95
tx_000084,user_temporal_001,2024-02-03T21:00:00.000Z,109.23,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000085,user_temporal_001,2024-02-03T23:00:00.000Z,76.19,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,13.57
tx_000086,user_temporal_001,2024-02-04T00:00:00.000Z,63.86,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000087,user_temporal_001,2024-02-04T02:00:00.000Z,35.93,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,1.22
tx_000088,user_temporal_001,2024-02-04T03:00:00.000Z,130.26,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000089,user_temporal_001,2024-02-04T05:00:00.000Z,92.20,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,13.41
tx_000090,user_temporal_001,2024-02-04T06:00:00.000Z,108.24,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000091,user_temporal_001,2024-02-04T08:00:00.000Z,46.66,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,-4.80
tx_000092,user_temporal_001,2024-02-04T09:00:00.000Z,84.08,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000093,user_temporal_001,2024-02-04T11:00:00.000Z,91.34,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,-1.63
tx_000094,user_temporal_001,2024-02-04T12:00:00.000Z,154.97,deposit,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0
tx_000095,user_temporal_001,2024-02-04T14:00:00.000Z,22.98,trade,dev_temporal_old,100.200.50.10,aff_002,US,credit_card,desktop,0.83
tx_000096,user_temporal_001,2024-02-07T15:00:00.000Z,10000,deposit,dev_temporal_new,100.200.50.99,aff_002,SG,crypto,mobile,0
tx_000097,user_temporal_001,2024-02-07T15:10:00.000Z,500,trade,dev_temporal_new,100.200.50.99,aff_002,SG,crypto,mobile,1
tx_000098,user_temporal_001,2024-02-07T15:15:00.000Z,9500,withdraw,dev_temporal_new,100.200.50.99,aff_002,SG,crypto,mobile,0
tx_000099,user_predict_001,2024-02-04T14:00:00.000Z,3000,deposit,dev_pred_1,88.77.66.55,aff_003,UK,bank_transfer,desktop,0
tx_000100,user_predict_001,2024-02-04T14:05:00.000Z,100,deposit,dev_pred_2,88.77.66.55,aff_003,UK,bank_transfer,mobile,0
tx_000101,user_predict_001,2024-02-04T14:08:00.000Z,50,deposit,dev_pred_3,88.77.66.56,aff_003,UK,bank_transfer,tablet,0
tx_000102,user_predict_001,2024-02-04T14:18:00.000Z,50,trade,dev_pred_3,88.77.66.56,aff_003,UK,bank_transfer,tablet,0.5
tx_000103,user_predict_001,2024-02-04T14:23:00.000Z,3000,withdraw,dev_pred_3,88.77.66.56,aff_003,UK,bank_transfer,tablet,0
tx_000104,user_legit_001,2024-02-05T08:00:00.000Z,50000,deposit,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,0
tx_000105,user_legit_001,2024-02-05T09:00:00.000Z,727.77,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,78.67
tx_000106,user_legit_001,2024-02-05T09:30:00.000Z,524.73,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,30.81
tx_000107,user_legit_001,2024-02-05T10:00:00.000Z,618.26,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,55.20
tx_000108,user_legit_001,2024-02-05T10:30:00.000Z,376.72,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,5.03
tx_000109,user_legit_001,2024-02-05T11:00:00.000Z,619.14,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,87.42
tx_000110,user_legit_001,2024-02-05T11:30:00.000Z,198.05,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,5.70
tx_000111,user_legit_001,2024-02-05T12:00:00.000Z,740.16,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,89.87
tx_000112,user_legit_001,2024-02-05T12:30:00.000Z,474.94,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,-35.08
tx_000113,user_legit_001,2024-02-05T13:00:00.000Z,569.36,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,68.16
tx_000114,user_legit_001,2024-02-05T13:30:00.000Z,278.50,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,4.54
tx_000115,user_legit_001,2024-02-05T14:00:00.000Z,939.14,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,16.31
tx_000116,user_legit_001,2024-02-05T14:30:00.000Z,912.15,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,-24.29
tx_000117,user_legit_001,2024-02-05T15:00:00.000Z,106.55,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,15.29
tx_000118,user_legit_001,2024-02-05T15:30:00.000Z,987.87,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,-22.21
tx_000119,user_legit_001,2024-02-05T16:00:00.000Z,822.81,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,-38.87
tx_000120,user_legit_001,2024-02-05T16:30:00.000Z,239.40,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,84.13
tx_000121,user_legit_001,2024-02-05T17:00:00.000Z,753.35,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,86.03
tx_000122,user_legit_001,2024-02-05T17:30:00.000Z,575.40,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,48.09
tx_000123,user_legit_001,2024-02-05T18:00:00.000Z,576.22,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,40.14
tx_000124,user_legit_001,2024-02-05T18:30:00.000Z,172.03,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,76.68
tx_000125,user_legit_001,2024-02-06T07:00:00.000Z,974.14,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,49.35
tx_000126,user_legit_001,2024-02-06T07:30:00.000Z,127.75,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,2.50
tx_000127,user_legit_001,2024-02-06T08:00:00.000Z,587.81,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,96.56
tx_000128,user_legit_001,2024-02-06T08:30:00.000Z,147.21,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,16.78
tx_000129,user_legit_001,2024-02-06T09:00:00.000Z,356.32,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,89.49
tx_000130,user_legit_001,2024-02-06T09:30:00.000Z,815.15,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,28.12
tx_000131,user_legit_001,2024-02-06T10:00:00.000Z,385.50,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,-48.29
tx_000132,user_legit_001,2024-02-06T10:30:00.000Z,220.01,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,52.50
tx_000133,user_legit_001,2024-02-06T11:00:00.000Z,502.27,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,97.28
tx_000134,user_legit_001,2024-02-06T11:30:00.000Z,679.99,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,77.30
tx_000135,user_legit_001,2024-02-06T12:00:00.000Z,411.69,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,47.78
tx_000136,user_legit_001,2024-02-06T12:30:00.000Z,976.06,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,29.86
tx_000137,user_legit_001,2024-02-06T13:00:00.000Z,489.84,trade,dev_legit_stable,192.168.1.100,aff_004,US,bank_transfer,desktop,85.25
